,Date,segment,branch_id,state,zone,case_count,year,Month,Week,weekday,day,Festival,Season,Festival1
1,01-04-2017,1,1,WEST BENGAL,EAST,40,2017,4,13,7,1,NA,Summer,0
2,08-05-2017,1,3,DELHI,NORTH,0,2017,5,19,2,8,NA,Summer,0
3,01-04-2017,1,5,KARNATAKA,SOUTH,10,2017,4,13,7,1,NA,Summer,0
4,01-04-2017,1,7,WEST BENGAL,EAST,2,2017,4,13,7,1,NA,Summer,0
5,01-04-2017,1,8,WEST BENGAL,EAST,13,2017,4,13,7,1,NA,Summer,0
6,01-04-2017,1,9,WEST BENGAL,EAST,11,2017,4,13,7,1,NA,Summer,0
7,01-04-2017,1,10,WEST BENGAL,EAST,0,2017,4,13,7,1,NA,Summer,0
8,01-04-2017,1,11,WEST BENGAL,EAST,9,2017,4,13,7,1,NA,Summer,0
9,01-04-2017,1,13,TAMIL NADU,SOUTH,1,2017,4,13,7,1,NA,Summer,0
10,01-04-2017,1,14,UTTAR PRADESH,EAST,0,2017,4,13,7,1,NA,Summer,0
11,01-04-2017,1,15,PUNJAB,NORTH,5,2017,4,13,7,1,NA,Summer,0
12,01-04-2017,1,16,TELANGANA,SOUTH,1,2017,4,13,7,1,NA,Summer,0
13,01-04-2017,1,17,ANDHRA PRADESH,SOUTH,0,2017,4,13,7,1,NA,Summer,0
14,01-04-2017,1,18,MAHARASHTRA,WEST,0,2017,4,13,7,1,NA,Summer,0
15,01-04-2017,1,19,MAHARASHTRA,WEST,17,2017,4,13,7,1,NA,Summer,0
16,01-04-2017,1,20,ORISSA,SOUTH,8,2017,4,13,7,1,NA,Summer,0
17,01-04-2017,1,21,MAHARASHTRA,WEST,0,2017,4,13,7,1,NA,Summer,0
18,01-04-2017,1,29,WEST BENGAL,EAST,0,2017,4,13,7,1,NA,Summer,0
19,01-04-2017,1,34,GUJARAT,WEST,4,2017,4,13,7,1,NA,Summer,0
20,01-04-2017,1,35,TAMIL NADU,SOUTH,0,2017,4,13,7,1,NA,Summer,0
21,01-04-2017,1,36,ASSAM,EAST,5,2017,4,13,7,1,NA,Summer,0
22,01-04-2017,1,42,WEST BENGAL,EAST,2,2017,4,13,7,1,NA,Summer,0
23,01-04-2017,1,43,TAMIL NADU,SOUTH,0,2017,4,13,7,1,NA,Summer,0
24,01-04-2017,1,48,ORISSA,SOUTH,12,2017,4,13,7,1,NA,Summer,0
25,01-04-2017,1,61,GUJARAT,WEST,1,2017,4,13,7,1,NA,Summer,0
26,01-04-2017,1,62,PUNJAB,NORTH,2,2017,4,13,7,1,NA,Summer,0
